Labor Category,Year 1/base,Year 2,Year 3,Year 4,Year 5,Education,MinExpAct,Bus Size,Location,COMPANY NAME,CONTRACT .,Schedule,SIN NUMBER,Contract Year,Begin Date,End Date,CurrentYearPricing
Project Manager,995.47,"1,013.38","1,031.63","1,050.19","1,069.10",Bachelors,8,S,Both,"SSG-Advisors, LLC",GS-10F-0274S,MOBIS,"874-1, 874-1RC, 874-7, 874-7RC",2,6/1/2006,5/31/2021,"1,013.38"
Program Coordinator,992.56,992.56,992.56,992.56,992.56,Bachelors,1,O,,University Of Maryland University College,GS-10F-0357N,MOBIS,874-4 / 874-4RC,2,4/23/2003,4/22/2018,992.56
"Interpretation Services Class 4: Afrikan,Akan,Albanian,Amharic,Arabic,Armenian, Azerbaijani,Bengali,Burmese,Cambodian, Cantonese,Dzongkha,Farsi,Fukienese,Gaelic,Gujarati,Hebrew,Hindi,Hmong,Icelandic,Indonesian,Japanese,Javanese,Kannada,Kazakh,Khalkha Mong",992.00,992.00,992.00,992.00,992.00,,2,O,Both,"Transperfect Translations International, Inc.",GS-10F-0076S,Language Services,382-2,1,12/8/2005,12/7/2020,992.00
Administrative Support,981.44,981.44,981.44,981.44,981.44,Bachelors,1,O,,University Of Maryland University College,GS-10F-0357N,MOBIS,874-4 / 874-4RC,2,4/23/2003,4/22/2018,981.44
Associate,973.30,990.82,"1,008.65","1,026.81","1,045.29",Masters,6,S,Both,"SSG-Advisors, LLC",GS-10F-0274S,MOBIS,"874-1, 874-1RC, 874-7, 874-7RC",2,6/1/2006,5/31/2021,990.82
Linguist - Final Top Secret,962.66,962.66,962.66,962.66,962.66,,,O,,"Worldwide Language Resources, Inc.",GS-10F-0307L,Language Services,382-2,1,6/21/2001,6/20/2021,962.66
Lighting Package,957.18,957.18,957.18,957.18,957.18,,,S,Both,"Shatterglass Studios, LLC",GS-00F-199DA,Consolidated,541-4B,1,6/27/2016,6/26/2021,957.18
Subject Matter Expert,957.18,,,,,Masters,20,S,Both,"Censeo Consulting Group, Inc.",GS-10F-0052R,MOBIS,"874-1, 6, 7",2,10/25/2004,10/24/2019,
SEO Level 2,952.90,,,,,Bachelors,4,S,Both,"POWER MARKETING & ADVERTISING, LLC",GS-10F-105CA,AIMS,541 3,2,7/1/2015,6/30/2020,
"AcquCenter Customer Site Installation, Additional Users Pricing",952.14,,,,,None,0,O,Customer Site,"Noblis, Inc.",GS-00F-096DA,Consolidated,C100-03,1,3/30/2016,3/29/2020,952.14
AcquTrak Remote Access Archival Functions Onluy (Up to 3 Users),952.14,,,,,None,0,O,Both,"Noblis, Inc.",GS-00F-096DA,Consolidated,C100-03,1,3/30/2016,3/29/2020,952.14
AcquTrak Remote Access Pre-Source Selection Phase (Above 5 Users),952.14,,,,,None,0,O,Both,"Noblis, Inc.",GS-00F-096DA,Consolidated,C100-03,1,3/30/2016,3/29/2020,952.14
AcquTrak Remote Access Source Selection/Post Award Phase (Above 10 Users),952.14,,,,,None,0,O,Both,"Noblis, Inc.",GS-00F-096DA,Consolidated,C100-03,1,3/30/2016,3/29/2020,952.14
Producer,941.58,941.58,941.58,941.58,941.58,High School,7,S,Both,"Ambient Light, LLC",GS-00F-212DA,Consolidated,541-4B,1,7/8/2016,7/7/2021,941.58
Video Editor,910.19,910.19,910.19,910.19,910.19,High School,7,S,Both,"Ambient Light, LLC",GS-00F-212DA,Consolidated,541-4B,1,7/8/2016,7/7/2021,910.19
Consultant,906.80,906.80,906.80,906.80,906.80,Bachelors,2,S,Both,"Dalberg Consulting-U.S., LLC",GS-10F-0188V,MOBIS,"874-1, 874-6, 874-7",3,5/20/2009,5/19/2019,906.80
"Interpretation Services Class 3: Belorussian, Bosnian, Bulgarian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Finnish, Flemish,Georgian,Greek,Haitain Creole, Hungarian, Latvian, Lithuanian, Norwegian, Polish, Romanian, Russian, Serbian,Slovak,Slove",900.00,900.00,900.00,900.00,900.00,,2,O,Both,"Transperfect Translations International, Inc.",GS-10F-0076S,Language Services,382-2,1,12/8/2005,12/7/2020,900.00
Regional Manager - Final Secret / Interim Top Secret,897.05,897.05,897.05,897.05,897.05,,,O,,"Worldwide Language Resources, Inc.",GS-10F-0307L,Language Services,382-2,1,6/21/2001,6/20/2021,897.05
Site Manager - Final Top Secret,883.33,883.33,883.33,883.33,883.33,,,O,,"Worldwide Language Resources, Inc.",GS-10F-0307L,Language Services,382-2,1,6/21/2001,6/20/2021,883.33
Category III 24-72 hours Interpretation,878.48,,,,,High School,2,S,Both,"The Language Doctors, Inc. (d.b.a.) Tld",GS-10F-0022K,Language Services,382-2,2,10/20/1999,10/19/2019,
Union Voice-over (off-camera) (formerly Voice over (off camera)),869.27,882.31,895.54,908.98,922.61,Bachelors,4,S,Both,Reel Impact Inc.,GS-23F-0039S,AIMS,541-4B,1,12/5/2005,12/4/2020,869.27
Full Mold Inspection - > 10000 sq. ft.,855.57,,,,,,,S,Both,"VM3 Environmental, Inc.",GS-00F-190DA,Consolidated,899 8/RC,1,6/16/2016,6/15/2021,855.57
Technical Specialist,839.45,839.45,839.45,839.45,839.45,Masters,6,S,Contractor Site,Dexis Interactive (d.b.a.) Dexis Consulting Group,GS-10F-098AA,MOBIS,874-1,4,2/21/2013,2/20/2018,839.45
Category II 24-72 hours Interpretation,822.01,,,,,High School,2,S,Both,"The Language Doctors, Inc. (d.b.a.) Tld",GS-10F-0022K,Language Services,382-2,2,10/20/1999,10/19/2019,
SEO Level 1,806.30,,,,,Bachelors,4,S,Both,"POWER MARKETING & ADVERTISING, LLC",GS-10F-105CA,AIMS,541 3,2,7/1/2015,6/30/2020,
Associate Consultant,797.98,797.98,797.98,797.98,797.98,Bachelors,1,S,Both,"Dalberg Consulting-U.S., LLC",GS-10F-0188V,MOBIS,"874-1, 874-6, 874-7",3,5/20/2009,5/19/2019,797.98
Director,793.95,793.95,793.95,793.95,793.95,High School,7,S,Both,"Ambient Light, LLC",GS-00F-212DA,Consolidated,541-4B,1,7/8/2016,7/7/2021,793.95
Category I 24-72 hours Interpretation,786.24,,,,,High School,2,S,Both,"The Language Doctors, Inc. (d.b.a.) Tld",GS-10F-0022K,Language Services,382-2,2,10/20/1999,10/19/2019,
Category III 3-7 days  Interpretation,786.24,,,,,High School,2,S,Both,"The Language Doctors, Inc. (d.b.a.) Tld",GS-10F-0022K,Language Services,382-2,2,10/20/1999,10/19/2019,
Partner,784.89,,,,,Masters,12,S,Both,"Censeo Consulting Group, Inc.",GS-10F-0052R,MOBIS,"874-1, 6, 7",2,10/25/2004,10/24/2019,
Linguist - Final Secret / Interim Top Secret,770.13,770.13,770.13,770.13,770.13,,,O,,"Worldwide Language Resources, Inc.",GS-10F-0307L,Language Services,382-2,1,6/21/2001,6/20/2021,770.13
"Interpretation Services Class 2: French, German, Italian, Portuguese",760.00,760.00,760.00,760.00,760.00,,2,O,Both,"Transperfect Translations International, Inc.",GS-10F-0076S,Language Services,382-2,1,12/8/2005,12/7/2020,760.00
Voice Over Talent,750.00,,,,,,,S,Both,"Digital Outpost, Inc.",GS-23F-0143S,AIMS,"541-4B, 541-4BRC",1,4/6/2006,4/5/2021,750.00
Set Designer,735.00,,,,,,,S,Both,"Digital Outpost, Inc.",GS-23F-0143S,AIMS,"541-4B, 541-4BRC",1,4/6/2006,4/5/2021,735.00
Principal,729.09,729.09,729.09,743.67,758.55,Bachelors,20,O,Both,"Jmw Consultants, Inc.",GS-10F-0286V,MOBIS,874-1,2,8/19/2009,8/18/2019,729.09
Category II 3-7 days  Interpretation,726.98,,,,,High School,2,S,Both,"The Language Doctors, Inc. (d.b.a.) Tld",GS-10F-0022K,Language Services,382-2,2,10/20/1999,10/19/2019,
