SIN(s),SERVICE PROPOSED (e.g. Job Title/Task),MINIMUM EDUCATION/ CERTIFICATION LEVEL,MINIMUM YEARS OF EXPERIENCE,"UNIT OF ISSUE (e.g. Hour, Task, Sq ft)",PRICE OFFERED TO GSA (including IFF),CONTRACT NUMBER,VENDOR NAME,BUSINESS SIZE,SCHEDULE,WORKSITE,CURRENT CONTRACT YEAR,CONTRACT START DATE,CONTRACT END DATE
132-51,IT Technician 1,N/A,1 Years,Hour,$23.55 ,GS-10F-0480Y,"3D FITNESS, INC.",S,IT Schedule 70,Both,4,9/22/12,9/21/17
132-51,IT Technician 2,N/A,2 Years,Hour,$41.22 ,GS-10F-0480Y,"3D FITNESS, INC.",S,IT Schedule 70,Both,4,9/22/12,9/21/17
132-51,IT Technician 3,N/A,4 Years,Hour,$188.41 ,GS-10F-0480Y,"3D FITNESS, INC.",S,IT Schedule 70,Both,4,9/22/12,9/21/17
132-51,IT Technician 4,N/A,6 Years,Hour,$282.62 ,GS-10F-0480Y,"3D FITNESS, INC.",S,IT Schedule 70,Both,4,9/22/12,9/21/17
132-51,Senior Project Manager,N/A,8,Hour,$129.93 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Project Manager,N/A,5,Hour,$126.23 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Project Control Specialist,N/A,8,Hour,$71.22 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Quality Assurance Manager,N/A,8,Hour,$95.86 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Quality Assurance Analyst II,N/A,6,Hour,$72.98 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Quality Assurance Analyst I,N/A,5,Hour,$70.69 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Configuration Manager,N/A,7,Hour,$76.61 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Functional Analyst,N/A,6,Hour,$106.63 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Senior Principal Engineer,N/A,4,Hour,$110.21 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Principal Engineer,N/A,3,Hour,$105.49 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Senior Engineer,Bachelor's,1,Hour,$81.60 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Staff Engineer,Bachelor's,1,Hour,$66.65 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Senior Subject Matter Expert,Bachelor's,8,Hour,$264.01 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Principal Systems Analyst,Bachelor's,10,Hour,$91.24 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Principal Application Engineer,Bachelor's,10,Hour,$215.06 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Senior Application Engineer,Bachelor's,6,Hour,$95.86 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Application Engineer,Bachelor's,4,Hour,$86.38 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Application Programmer,Bachelor's,1,Hour,$61.91 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Senior Information Engineer,Bachelor's,8,Hour,$100.98 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Information Engineer,Bachelor's,6,Hour,$83.50 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Web Designer,Bachelor's,2,Hour,$79.86 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Web Architect,Bachelor's,5,Hour,$71.07 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Database Management Specialist,Bachelor's,4,Hour,$105.49 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,**Systems Operator II,Associates,3,Hour,$69.09 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Senior Training Specialist,Bachelor's,6,Hour,$73.42 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Senior Technical Trainer,Bachelor's,5,Hour,$73.88 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Technical Trainer,Bachelor's,2,Hour,$70.13 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Instructional Designer,Bachelor's,2,Hour,$69.94 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Documentation Specialist,Associates,3,Hour,$50.02 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
