SIN(s),SERVICE PROPOSED (e.g. Job Title/Task),MINIMUM EDUCATION/ CERTIFICATION LEVEL,MINIMUM YEARS OF EXPERIENCE,"UNIT OF ISSUE (e.g. Hour, Task, Sq ft)",PRICE OFFERED TO GSA (including IFF),CONTRACT NUMBER,VENDOR NAME,BUSINESS SIZE,SCHEDULE,WORKSITE,CURRENT CONTRACT YEAR,CONTRACT START DATE,CONTRACT END DATE
132-51,Network Engineer III,Bachelors,7,Hour,$67.55,GS-35F-317CA,"2PIXELS, LLC",S,IT Schedule 70,Customer,1,5/6/2015,5/5/2020
132-51,QA/Tech Writer,Bachelors,5,Hour,$50.02,GS-35F-317CA,"2PIXELS, LLC",S,IT Schedule 70,Customer,1,5/6/2015,5/5/2020
132-51,Business Analyst I,Associates,1,Hour,$71.78,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Business Analyst I,Associates,1,Hour,$73.14,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Business Analyst I,Associates,1,Hour,$74.53,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Business Analyst I,Associates,1,Hour,$75.94,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Business Analyst I,Associates,1,Hour,$77.39,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Business Analyst II,Bachelors,5,Hour,$107.23,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Business Analyst II,Bachelors,5,Hour,$109.27,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Business Analyst II,Bachelors,5,Hour,$111.35,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Business Analyst II,Bachelors,5,Hour,$113.46,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Business Analyst II,Bachelors,5,Hour,$115.62,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Business Analyst III,Bachelors,10,Hour,$144.64,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
132-51,Business Analyst III,Bachelors,10,Hour,$147.39,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,2,11/4/2014,11/3/2019
132-51,Business Analyst III,Bachelors,10,Hour,$150.19,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,3,11/4/2014,11/3/2019
132-51,Business Analyst III,Bachelors,10,Hour,$153.05,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,4,11/4/2014,11/3/2019
132-51,Business Analyst III,Bachelors,10,Hour,$155.96,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,5,11/4/2014,11/3/2019
132-51,Database Analyst/Programmer I,Associates,1,Hour,$101.44,GS-35F-047CA,4M RESEARCH,S,IT Schedule 70,Both,1,11/4/2014,11/3/2019
